trip_id,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,pickup,dropoff,cab_type,precipitation,snow_depth,snowfall,max_temperature,min_temperature,average_wind_speed,pickup_nyct2010_gid,pickup_ctlabel,pickup_borocode,pickup_boroname,pickup_ct2010,pickup_boroct2010,pickup_cdeligibil,pickup_ntacode,pickup_ntaname,pickup_puma,dropoff_nyct2010_gid,dropoff_ctlabel,dropoff_borocode,dropoff_boroname,dropoff_ct2010,dropoff_boroct2010,dropoff_cdeligibil,dropoff_ntacode,dropoff_ntaname,dropoff_puma,10mbin
"973,723,994",VTS,03:00.0,06:00.0,,1,-73.993532,40.724227,-73.993843,40.727417,6,0.31,4,0.5,0.5,0,0,,,5,CSH,,,,yellow,,,,37,20,,1469,43,1,Manhattan,4300,1004300,I,MN24,SoHo-TriBeCa-Civic Center-Little Italy,3810,1471,55.02,1,Manhattan,5502,1005502,I,MN23,West Village,3810,00:00.0
"973,732,170",VTS,03:00.0,24:00.0,,1,-73.941217,40.71305,-73.988517,40.774927,1,4.67,18.5,0.5,0.5,0.22,0,,,19.72,CRD,,,,yellow,,,,37,20,,236,481,3,Brooklyn,48100,3048100,I,BK90,East Williamsburg,4001,1741,151,1,Manhattan,15100,1015100,E,MN14,Lincoln Square,3806,00:00.0
"973,736,615",VTS,03:00.0,29:00.0,,1,-73.995342,40.719857,-73.966733,40.79908,1,7.29,25,0.5,0.5,6.38,0,,,32.38,CRD,,,,yellow,,,,37,20,,1476,41,1,Manhattan,4100,1004100,E,MN24,SoHo-TriBeCa-Civic Center-Little Italy,3810,1136,191,1,Manhattan,19100,1019100,I,MN12,Upper West Side,3806,00:00.0
"973,738,284",VTS,03:00.0,07:00.0,,1,-73.989208,40.75311,-74.001195,40.74173,1,1.23,5.5,0.5,0.5,1.2,0,,,7.7,CRD,,,,yellow,,,,37,20,,900,109,1,Manhattan,10900,1010900,I,MN17,Midtown-Midtown South,3807,1355,83,1,Manhattan,8300,1008300,E,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,00:00.0
"973,958,281",VTS,03:00.0,11:00.0,,1,-73.953855,40.787165,-73.959055,40.763592,1,2.16,8,0.5,0.5,0,0,,,9,CSH,,,,yellow,,,,37,20,,1096,160.02,1,Manhattan,16002,1016002,I,MN33,East Harlem South,3804,1758,116,1,Manhattan,11600,1011600,I,MN31,Lenox Hill-Roosevelt Island,3805,00:00.0
"970,316,284",VTS,03:00.0,13:00.0,,1,-73.991848,40.726277,-73.99852,40.717257,1,0.84,8,0.5,0.5,1.7,0,,,10.7,CRD,,,,yellow,,,,37,20,,1471,55.02,1,Manhattan,5502,1005502,I,MN23,West Village,3810,1476,41,1,Manhattan,4100,1004100,E,MN24,SoHo-TriBeCa-Civic Center-Little Italy,3810,00:00.0
"970,288,379",CMT,03:12.0,10:42.0,N,1,-73.969227,40.689496,-73.949968,40.675363,1,1.7,8,0.5,0.5,0,0,,,9,CSH,,,,yellow,,,,37,20,,1605,183,3,Brooklyn,18300,3018300,I,BK68,Fort Greene,4004,2154,315,3,Brooklyn,31500,3031500,E,BK61,Crown Heights North,4006,00:00.0
"970,322,456",CMT,03:20.0,11:10.0,N,1,-73.971626,40.79455,-73.950461,40.792485,1,1.4,7.5,0.5,0.5,0,0,,,8.5,CSH,,,,yellow,,,,37,20,,1704,183,1,Manhattan,18300,1018300,I,MN12,Upper West Side,3806,1267,168,1,Manhattan,16800,1016800,E,MN33,East Harlem South,3804,00:00.0
"973,746,516",CMT,03:45.0,07:42.0,N,1,-73.985583,40.727371,-73.97974,40.739181,1,1,5,0.5,0.5,1.2,0,,,7.2,CRD,,,,yellow,,,,37,20,,1470,38,1,Manhattan,3800,1003800,I,MN22,East Village,3809,1525,66,1,Manhattan,6600,1006600,I,MN20,Murray Hill-Kips Bay,3808,00:00.0
"970,319,803",CMT,04:11.0,15:15.0,N,1,-73.988516,40.759253,-73.951749,40.781979,1,3.2,12,0.5,0.5,2.6,0,,,15.6,CRD,,,,yellow,,,,37,20,,1163,121,1,Manhattan,12100,1012100,E,MN15,Clinton,3807,29,148.02,1,Manhattan,14802,1014802,I,MN40,Upper East Side-Carnegie Hill,3805,00:00.0
"970,316,901",CMT,04:24.0,26:47.0,N,1,-73.862816,40.769121,-73.970031,40.798062,1,9.7,29.5,0.5,0.5,3,5.33,,,38.83,CRD,,,,yellow,,,,37,20,,1840,331,4,Queens,33100,4033100,I,QN98,Airport,4102,1705,187,1,Manhattan,18700,1018700,I,MN12,Upper West Side,3806,00:00.0
"970,308,235",CMT,04:43.0,06:52.0,N,1,-73.978604,40.745203,-73.972141,40.751303,1,0.6,4,0.5,0.5,0,0,,,5,CSH,,,,yellow,,,,37,20,,1666,72,1,Manhattan,7200,1007200,I,MN20,Murray Hill-Kips Bay,3808,1431,88,1,Manhattan,8800,1008800,I,MN19,Turtle Bay-East Midtown,3808,00:00.0
"973,979,408",CMT,04:43.0,11:47.0,N,1,-73.960592,40.696213,-74.001515,40.683981,1,3.5,11.5,0.5,0.5,0,0,,,12.5,CSH,,,,yellow,,,,37,20,,2124,1237,3,Brooklyn,123700,3123700,E,BK75,Bedford,4003,1426,51,3,Brooklyn,5100,3005100,I,BK33,Carroll Gardens-Columbia Street-Red Hook,4005,00:00.0
"973,733,530",VTS,05:00.0,24:00.0,,1,-73.86617,40.770807,-73.788985,40.646887,6,11.76,32.5,0.5,0.5,5,0,,,38.5,CRD,,,,yellow,,,,37,20,,1840,331,4,Queens,33100,4033100,I,QN98,Airport,4102,2056,716,4,Queens,71600,4071600,I,QN98,Airport,4105,00:00.0
"973,970,822",VTS,05:00.0,20:00.0,,1,-74.006162,40.740007,-73.97549,40.756012,2,2.77,12.5,0.5,0.5,0,0,,,13.5,CSH,,,,yellow,,,,37,20,,1359,79,1,Manhattan,7900,1007900,I,MN23,West Village,3810,1249,94,1,Manhattan,9400,1009400,E,MN17,Midtown-Midtown South,3807,00:00.0
"973,724,129",CMT,05:43.0,19:19.0,N,1,-74.003632,40.722629,-73.981454,40.740555,1,2.3,11.5,0.5,0.5,1.75,0,,,14.25,CRD,,,,yellow,,,,37,20,,1808,47,1,Manhattan,4700,1004700,I,MN24,SoHo-TriBeCa-Civic Center-Little Italy,3810,1525,66,1,Manhattan,6600,1006600,I,MN20,Murray Hill-Kips Bay,3808,00:00.0
"970,295,884",CMT,05:50.0,12:17.0,N,1,-73.975502,40.745337,-73.981692,40.730083,3,1.3,7,0.5,0.5,0,0,,,8,CSH,,,,yellow,,,,37,20,,1440,78,1,Manhattan,7800,1007800,I,MN20,Murray Hill-Kips Bay,3808,2146,34,1,Manhattan,3400,1003400,I,MN22,East Village,3809,00:00.0
"973,724,604",VTS,06:00.0,28:00.0,,1,-73.99507,40.73413,-73.97512,40.79279,1,5.53,19.5,0.5,0.5,0,0,,,20.5,CSH,,,,yellow,,,,37,20,,1158,63,1,Manhattan,6300,1006300,I,MN23,West Village,3810,1703,179,1,Manhattan,17900,1017900,I,MN12,Upper West Side,3806,00:00.0
"970,270,295",VTS,06:00.0,26:00.0,,1,-73.99412,40.719902,-73.918197,40.761872,1,9.38,28,0.5,0.5,7.12,0,,,36.12,CRD,,,,yellow,,,,37,20,,1475,18,1,Manhattan,1800,1001800,E,MN27,Chinatown,3809,1385,63,4,Queens,6300,4006300,E,QN70,Astoria,4101,00:00.0
"970,289,611",VTS,06:00.0,47:00.0,,1,-73.986848,40.729742,-73.991095,40.667657,2,0.53,28,0.5,0.5,0,0,,,29,CSH,,,,yellow,,,,37,20,,861,40,1,Manhattan,4000,1004000,I,MN22,East Village,3809,80,117,3,Brooklyn,11700,3011700,I,BK37,Park Slope-Gowanus,4005,00:00.0
"973,952,148",CMT,06:37.0,10:51.0,N,1,-74.001484,40.746883,-74.00392,40.750982,1,0.6,5,0.5,0.5,1.2,0,,,7.2,CRD,,,,yellow,,,,37,20,,1393,93,1,Manhattan,9300,1009300,I,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,2098,99,1,Manhattan,9900,1009900,I,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,00:00.0
"973,724,655",CMT,06:48.0,45:18.0,N,1,-73.961247,40.773312,-73.975017,40.799429,2,7.8,24.5,0.5,0.5,0,0,,,25.5,CSH,,,,yellow,,,,37,20,,1042,128,1,Manhattan,12800,1012800,I,MN40,Upper East Side-Carnegie Hill,3805,1705,187,1,Manhattan,18700,1018700,I,MN12,Upper West Side,3806,00:00.0
"973,748,912",VTS,07:00.0,13:00.0,,1,-73.994307,40.726327,-73.980938,40.72954,2,1.09,6.5,0.5,0.5,2.1,0,,,9.6,CRD,,,,yellow,,,,37,20,,1471,55.02,1,Manhattan,5502,1005502,I,MN23,West Village,3810,2146,34,1,Manhattan,3400,1003400,I,MN22,East Village,3809,00:00.0
"970,290,376",CMT,07:30.0,10:18.0,N,1,-73.969527,40.800451,-73.977459,40.789443,1,0.9,5,0.5,0.5,1.2,0,,,7.2,CRD,,,,yellow,,,,37,20,,1136,191,1,Manhattan,19100,1019100,I,MN12,Upper West Side,3806,906,175,1,Manhattan,17500,1017500,I,MN12,Upper West Side,3806,00:00.0
"970,288,395",CMT,07:34.0,20:17.0,N,1,-73.937345,40.810144,-73.974982,40.725147,1,6.9,20.5,0.5,0.5,0,0,,,21.5,CSH,,,,yellow,,,,37,20,,39,206,1,Manhattan,20600,1020600,E,MN03,Central Harlem North-Polo Grounds,3803,2157,28,1,Manhattan,2800,1002800,E,MN28,Lower East Side,3809,00:00.0
"973,737,247",CMT,07:37.0,11:35.0,N,1,-73.937008,40.698048,-73.949392,40.705102,1,0.8,5,0.5,0.5,1.2,0,,,7.2,CRD,,,,yellow,,,,37,20,,1812,389,3,Brooklyn,38900,3038900,E,BK78,Bushwick South,4002,1193,491,3,Brooklyn,49100,3049100,E,BK90,East Williamsburg,4001,00:00.0
"973,723,755",CMT,07:53.0,18:19.0,N,1,-73.986698,40.742797,-73.972148,40.747282,3,1.8,9,0.5,0.5,2,0,,,12,CRD,,,,yellow,,,,37,20,,934,56,1,Manhattan,5600,1005600,I,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,1440,78,1,Manhattan,7800,1007800,I,MN20,Murray Hill-Kips Bay,3808,00:00.0
"973,727,617",VTS,08:00.0,24:00.0,,1,-73.995552,40.749347,-73.949648,40.784622,2,4.22,15,0.5,0.5,0,0,,,16,CSH,,,,yellow,,,,37,20,,1518,97,1,Manhattan,9700,1009700,E,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,32,156.01,1,Manhattan,15601,1015601,I,MN32,Yorkville,3805,00:00.0
"970,271,122",VTS,08:00.0,20:00.0,,1,-73.981157,40.689835,-73.963837,40.710422,3,2.18,11,0.5,0.5,2.3,0,,,14.3,CRD,,,,yellow,,,,37,20,,1461,33,3,Brooklyn,3300,3003300,I,BK68,Fort Greene,4004,1604,549,3,Brooklyn,54900,3054900,E,BK73,North Side-South Side,4001,00:00.0
"970,322,911",VTS,08:00.0,15:00.0,,1,-73.992287,40.758987,-73.999765,40.728332,1,0.9,6.5,0.5,0.5,1.4,0,,,8.9,CRD,,,,yellow,,,,37,20,,1163,121,1,Manhattan,12100,1012100,E,MN15,Clinton,3807,1317,65,1,Manhattan,6500,1006500,I,MN23,West Village,3810,00:00.0
"970,292,040",CMT,08:11.0,15:38.0,N,1,-73.980379,40.780451,-73.982985,40.762777,1,1.4,7.5,0.5,0.5,0,0,,,8.5,CSH,,,,yellow,,,,37,20,,1947,163,1,Manhattan,16300,1016300,I,MN12,Upper West Side,3806,1283,131,1,Manhattan,13100,1013100,I,MN17,Midtown-Midtown South,3807,00:00.0
"973,749,036",CMT,08:23.0,20:26.0,N,1,,,,,2,2.3,10.5,0.5,0.5,2.3,0,,,13.8,CRD,,,,yellow,,,,37,20,,,,,,,,,,,,,,,,,,,,,,00:00.0
"973,726,574",CMT,08:29.0,09:00.0,N,3,-74.030382,40.754514,-74.030377,40.754491,1,0,20,0.5,0,0,0,,,20.5,NOC,,,,yellow,,,,37,20,,,,,,,,,,,,,,,,,,,,,,00:00.0
"973,743,779",VTS,09:00.0,17:00.0,,1,-73.97411,40.769427,-73.991902,40.715887,1,2.24,9.5,0.5,0.5,0,0,,,10.5,CSH,,,,yellow,,,,37,20,,1835,143,1,Manhattan,14300,1014300,I,MN99,park-cemetery-etc-Manhattan,3806,953,16,1,Manhattan,1600,1001600,E,MN27,Chinatown,3809,00:00.0
"970,272,405",CMT,09:00.0,15:50.0,N,1,-73.978663,40.777567,-73.968977,40.80254,1,2.2,8.5,0.5,0.5,1.9,0,,,11.4,CRD,,,,yellow,,,,37,20,,1301,157,1,Manhattan,15700,1015700,I,MN14,Lincoln Square,3806,1903,195,1,Manhattan,19500,1019500,I,MN09,Morningside Heights,3802,00:00.0
"973,962,922",VTS,09:00.0,23:00.0,,1,-73.952785,40.772412,-73.992763,40.76264,6,3.21,13,0.5,0.5,0,0,,,14,CSH,,,,yellow,,,,37,20,,2048,138,1,Manhattan,13800,1013800,I,MN32,Yorkville,3805,1162,127,1,Manhattan,12700,1012700,I,MN15,Clinton,3807,00:00.0
"970,297,275",VTS,09:00.0,35:00.0,,1,-73.913517,40.763277,-73.939288,40.678007,6,10.09,30.5,0.5,0.5,7,0,,,38.5,CRD,,,,yellow,,,,37,20,,583,147,4,Queens,14700,4014700,I,QN70,Astoria,4101,155,271,3,Brooklyn,27100,3027100,E,BK61,Crown Heights North,4006,00:00.0
"973,969,334",VTS,09:00.0,34:00.0,,1,-73.992547,40.714295,-73.991242,40.765497,3,4.71,20,0.5,0.5,4.1,0,,,25.1,CRD,,,,yellow,,,,37,20,,2104,8,1,Manhattan,800,1000800,E,MN27,Chinatown,3809,903,135,1,Manhattan,13500,1013500,E,MN15,Clinton,3807,00:00.0
"970,297,913",CMT,09:43.0,21:00.0,N,1,-74.009471,40.738175,-73.991613,40.767899,1,2.9,11.5,0.5,0.5,1,0,,,13.5,CRD,,,,yellow,,,,37,20,,1359,79,1,Manhattan,7900,1007900,I,MN23,West Village,3810,903,135,1,Manhattan,13500,1013500,E,MN15,Clinton,3807,00:00.0
"973,725,853",VTS,00:00.0,06:00.0,,1,-73.977432,40.752655,-73.985543,40.749775,2,1.13,6,0.5,0.5,0,0,,,7,CSH,,,,yellow,,,,40,32,,1250,92,1,Manhattan,9200,1009200,I,MN19,Turtle Bay-East Midtown,3808,2001,84,1,Manhattan,8400,1008400,I,MN17,Midtown-Midtown South,3807,00:00.0
"973,731,835",VTS,00:00.0,15:00.0,,1,-74.008382,40.71213,-73.982737,40.744582,6,3.11,13,0.5,0.5,0,0,,,14,CSH,,,,yellow,,,,40,32,,2095,21,1,Manhattan,2100,1002100,I,MN24,SoHo-TriBeCa-Civic Center-Little Italy,3810,1666,72,1,Manhattan,7200,1007200,I,MN20,Murray Hill-Kips Bay,3808,00:00.0
"973,944,122",VTS,00:00.0,01:00.0,,1,-73.954277,40.774432,-73.959323,40.767393,6,0.51,3.5,0.5,0.5,0,0,,,4.5,CSH,,,,yellow,,,,40,32,,2048,138,1,Manhattan,13800,1013800,I,MN32,Yorkville,3805,1975,126,1,Manhattan,12600,1012600,I,MN31,Lenox Hill-Roosevelt Island,3805,00:00.0
"970,309,334",VTS,00:00.0,08:00.0,,1,-73.956017,40.775802,-73.960272,40.758942,1,1.64,8,0.5,0.5,1.7,0,,,10.7,CRD,,,,yellow,,,,40,32,,2048,138,1,Manhattan,13800,1013800,I,MN32,Yorkville,3805,1756,106.02,1,Manhattan,10602,1010602,I,MN31,Lenox Hill-Roosevelt Island,3805,00:00.0
"973,732,565",VTS,01:00.0,06:00.0,,1,-73.980125,40.7839,-73.973715,40.779272,1,0.57,5.5,0.5,0.5,0,0,,,6.5,CSH,,,,yellow,,,,40,32,,1945,167,1,Manhattan,16700,1016700,I,MN12,Upper West Side,3806,1835,143,1,Manhattan,14300,1014300,I,MN99,park-cemetery-etc-Manhattan,3806,00:00.0
"973,745,016",VTS,01:00.0,14:00.0,,1,-74.006088,40.739857,-73.973122,40.754957,1,2.75,12,0.5,0.5,2,0,,,15,CRD,,,,yellow,,,,40,32,,1359,79,1,Manhattan,7900,1007900,I,MN23,West Village,3810,1250,92,1,Manhattan,9200,1009200,I,MN19,Turtle Bay-East Midtown,3808,00:00.0
"970,298,141",VTS,01:00.0,20:00.0,,1,-73.999572,40.730312,-73.988417,40.722792,1,1.82,12.5,0.5,0.5,2.6,0,,,16.1,CRD,,,,yellow,,,,40,32,,1317,65,1,Manhattan,6500,1006500,I,MN23,West Village,3810,929,30.01,1,Manhattan,3001,1003001,E,MN27,Chinatown,3809,00:00.0
"970,298,279",VTS,01:00.0,04:00.0,,1,-73.99022,40.732872,-73.987922,40.73228,1,0.15,3.5,0.5,0.5,0,0,,,4.5,CRD,,,,yellow,,,,40,32,,969,61,1,Manhattan,6100,1006100,I,MN23,West Village,3810,968,42,1,Manhattan,4200,1004200,I,MN22,East Village,3809,00:00.0
"973,973,969",CMT,01:09.0,16:10.0,N,1,-73.960959,40.71474,-73.928996,40.700251,1,2.5,12,0.5,0.5,1,0,,,14,CRD,,,,yellow,,,,40,32,,267,553,3,Brooklyn,55300,3055300,E,BK73,North Side-South Side,4001,1928,423,3,Brooklyn,42300,3042300,E,BK78,Bushwick South,4002,00:00.0
"973,972,268",CMT,01:20.0,10:37.0,N,1,-73.99205,40.725363,-74.005333,40.732187,1,1.1,7.5,0.5,0.5,2.5,0,,,11,CRD,,,,yellow,,,,40,32,,1474,36.02,1,Manhattan,3602,1003602,I,MN22,East Village,3809,1443,73,1,Manhattan,7300,1007300,I,MN23,West Village,3810,00:00.0
"973,723,478",CMT,01:29.0,07:28.0,N,1,-73.985688,40.727019,-73.97694,40.747396,3,1.7,7,0.5,0.5,1.6,0,,,9.6,CRD,,,,yellow,,,,40,32,,10,32,1,Manhattan,3200,1003200,I,MN22,East Village,3809,1413,80,1,Manhattan,8000,1008000,I,MN20,Murray Hill-Kips Bay,3808,00:00.0
"970,268,905",VTS,02:00.0,06:00.0,,1,-73.992388,40.743237,-73.998087,40.737937,5,0.95,5.5,0.5,0.5,1.5,0,,,8,CRD,,,,yellow,,,,40,32,,1157,58,1,Manhattan,5800,1005800,I,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,1165,81,1,Manhattan,8100,1008100,I,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,00:00.0
"973,739,413",VTS,02:00.0,16:00.0,,1,-73.993843,40.72015,-73.901947,40.742867,1,6.27,20,0.5,0.5,5.12,0,,,26.12,CRD,,,,yellow,,,,40,32,,1475,18,1,Manhattan,1800,1001800,E,MN27,Chinatown,3809,1656,249,4,Queens,24900,4024900,I,QN63,Woodside,4109,00:00.0
"973,747,966",VTS,02:00.0,08:00.0,,1,-74.005152,40.71998,-73.997242,40.71324,1,0.93,6,0.5,0.5,1.3,0,,,8.3,CRD,,,,yellow,,,,40,32,,1807,33,1,Manhattan,3300,1003300,I,MN24,SoHo-TriBeCa-Civic Center-Little Italy,3810,1944,27,1,Manhattan,2700,1002700,I,MN27,Chinatown,3809,00:00.0
"970,298,469",VTS,02:00.0,34:00.0,,1,-74.003443,40.738752,-73.940922,40.718125,1,6.2,24.5,0.5,0.5,5,0,,,30.5,CRD,,,,yellow,,,,40,32,,1358,77,1,Manhattan,7700,1007700,I,MN23,West Village,3810,1043,477,3,Brooklyn,47700,3047700,E,BK90,East Williamsburg,4001,00:00.0
"970,277,088",CMT,02:05.0,09:06.0,N,1,-73.982074,40.769007,-73.969031,40.791868,1,1.9,8,0.5,0.5,0,0,,,9,CSH,,,,yellow,,,,40,32,,1346,145,1,Manhattan,14500,1014500,I,MN14,Lincoln Square,3806,1304,181,1,Manhattan,18100,1018100,I,MN12,Upper West Side,3806,00:00.0
"970,316,253",CMT,02:09.0,15:03.0,N,1,-73.999905,40.726685,-73.98916,40.718758,4,1,9,0.5,0.5,2,0,,,12,CRD,,,,yellow,,,,40,32,,1315,49,1,Manhattan,4900,1004900,I,MN24,SoHo-TriBeCa-Civic Center-Little Italy,3810,1475,18,1,Manhattan,1800,1001800,E,MN27,Chinatown,3809,00:00.0
"973,721,905",CMT,02:54.0,09:53.0,N,1,-73.982298,40.768854,-73.990873,40.765825,3,0.9,6.5,0.5,0.5,1.5,0,,,9,CRD,,,,yellow,,,,40,32,,1346,145,1,Manhattan,14500,1014500,I,MN14,Lincoln Square,3806,1161,133,1,Manhattan,13300,1013300,I,MN15,Clinton,3807,00:00.0
"970,277,550",VTS,03:00.0,33:00.0,,1,-73.988425,40.725702,-73.923477,40.686767,1,5.53,23,0.5,0.5,2,0,,,26,CRD,,,,yellow,,,,40,32,,1470,38,1,Manhattan,3800,1003800,I,MN22,East Village,3809,1321,375,3,Brooklyn,37500,3037500,E,BK35,Stuyvesant Heights,4003,00:00.0
"973,747,207",CMT,03:18.0,07:43.0,N,1,-73.928617,40.810157,-73.938227,40.796434,2,1.2,6,0.5,0.5,0,0,,,7,CSH,,,,yellow,,,,40,32,,1934,51,2,Bronx,5100,2005100,E,BX39,Mott Haven-Port Morris,3710,1767,188,1,Manhattan,18800,1018800,E,MN34,East Harlem North,3804,00:00.0
"973,959,256",VTS,04:00.0,15:00.0,,1,-73.966682,40.756755,-73.988127,40.748447,1,1.71,9,0.5,0.5,0,0,,,10,CSH,,,,yellow,,,,40,32,,14,98,1,Manhattan,9800,1009800,I,MN19,Turtle Bay-East Midtown,3808,2000,76,1,Manhattan,7600,1007600,I,MN17,Midtown-Midtown South,3807,00:00.0
"973,959,530",VTS,04:00.0,18:00.0,,1,-73.98359,40.72927,-74.00936,40.71525,1,2.18,11,0.5,0.5,2.3,0,,,14.3,CRD,,,,yellow,,,,40,32,,2146,34,1,Manhattan,3400,1003400,I,MN22,East Village,3809,2095,21,1,Manhattan,2100,1002100,I,MN24,SoHo-TriBeCa-Civic Center-Little Italy,3810,00:00.0
"973,963,955",VTS,04:00.0,18:00.0,,1,-73.971695,40.750562,-74.0053,40.728862,6,3.08,13,0.5,0.5,2.02,0,,,16.02,UNK,,,,yellow,,,,40,32,,1431,88,1,Manhattan,8800,1008800,I,MN19,Turtle Bay-East Midtown,3808,1316,67,1,Manhattan,6700,1006700,I,MN23,West Village,3810,00:00.0
"970,265,995",VTS,05:00.0,12:00.0,,1,-74.00288,40.72804,-73.985657,40.727012,1,1.22,6.5,0.5,0.5,0,0,,,7.5,CSH,,,,yellow,,,,40,32,,1805,37,1,Manhattan,3700,1003700,I,MN24,SoHo-TriBeCa-Civic Center-Little Italy,3810,10,32,1,Manhattan,3200,1003200,I,MN22,East Village,3809,00:00.0
"973,744,749",VTS,05:00.0,29:00.0,,1,-73.98751,40.733012,-73.92801,40.764472,2,5.89,21,0.5,0.5,0,0,,,22,CSH,,,,yellow,,,,40,32,,968,42,1,Manhattan,4200,1004200,I,MN22,East Village,3809,1211,75,4,Queens,7500,4007500,E,QN70,Astoria,4101,00:00.0
